name,N,sd size,depth,minimal trapspaces,attractors,motif-avoidant-attractors
n5_96,5,1,0,1,1,0
n5_97,5,1,0,1,1,0
n5_98,5,3,1,2,2,0
n5_99,5,1,0,1,1,0
n640_0,640,3,1,2,2,0
n640_1,640,5,2,2,2,0
n640_10,640,1,0,1,1,0
n640_11,640,6,2,4,4,0
n640_12,640,2,1,1,1,0
n640_13,640,35,4,9,9,0
n640_14,640,7,3,2,2,0
n640_15,640,18,3,4,4,0
n640_16,640,3,2,1,1,0
n640_17,640,2,1,1,1,0
n640_18,640,3,1,2,2,0
n640_19,640,1,0,1,1,0
n640_2,640,2,1,1,1,0
n640_20,640,6,2,2,2,0
n640_21,640,27,3,8,8,0
n640_22,640,20,3,6,6,0
n640_23,640,4,3,1,1,0
n640_24,640,5,2,3,3,0
n640_25,640,4,3,1,1,0
n640_26,640,6,2,2,2,0
n640_27,640,5,2,3,3,0
n640_28,640,9,2,4,4,0
n640_29,640,17,4,4,4,0
n640_3,640,5,2,2,2,0
n640_30,640,3,1,2,2,0
n640_31,640,3,1,2,2,0
n640_32,640,3,1,2,2,0
n640_33,640,4,2,1,1,0
n640_34,640,4,2,1,1,0
n640_35,640,1,0,1,1,0
n640_36,640,1,0,1,1,0
n640_37,640,9,3,5,5,0
n640_38,640,3,1,2,2,0
n640_39,640,9,3,2,2,0
n640_4,640,5,2,3,3,0
n640_40,640,18,3,6,6,0
n640_41,640,18,4,4,4,0
n640_42,640,3,1,2,2,0
n640_43,640,27,4,8,8,0
n640_44,640,1,0,1,1,0
n640_45,640,15,3,6,6,0
n640_46,640,5,3,2,2,0
n640_47,640,9,2,4,4,0
n640_48,640,3,1,2,2,0
n640_49,640,9,2,4,4,0
n640_5,640,5,3,2,2,0
n640_50,640,54,7,8,8,0
n640_51,640,6,3,3,3,0
n640_52,640,4,2,1,1,0
n640_53,640,4,2,2,2,0
n640_54,640,3,1,2,2,0
n640_55,640,4,2,2,2,0
n640_56,640,1,0,1,1,0
n640_57,640,6,2,3,3,0
n640_58,640,3,1,2,2,0
n640_59,640,3,1,2,2,0
n640_6,640,2,1,1,1,0
n640_60,640,7,4,2,2,0
n640_61,640,56,5,12,12,0
n640_62,640,3,1,2,2,0
n640_63,640,4,2,2,2,0
n640_64,640,1,0,1,1,0
n640_65,640,1,0,1,1,0
n640_66,640,9,3,2,2,0
n640_67,640,3,2,1,1,0
n640_68,640,2,1,1,1,0
n640_69,640,2,1,1,1,0
n640_7,640,5,2,2,2,0
n640_70,640,11,4,3,3,0
n640_71,640,2,1,1,1,0
n640_72,640,3,2,1,1,0
n640_73,640,15,3,6,6,0
n640_74,640,4,2,2,2,0
n640_75,640,4,2,2,2,0
n640_76,640,18,3,6,6,0
n640_77,640,12,3,3,3,0
n640_78,640,2,1,1,1,0
n640_79,640,18,4,6,6,0
n640_8,640,2,1,1,1,0
n640_80,640,9,2,4,4,0
n640_81,640,9,4,2,2,0
n640_82,640,6,2,4,4,0
n640_83,640,27,3,8,8,0
n640_84,640,3,1,2,2,0
n640_85,640,18,4,6,6,0
n640_86,640,14,4,5,5,0
n640_87,640,3,1,2,2,0
n640_88,640,33,4,8,8,0
n640_89,640,105,5,16,16,0
n640_9,640,13,4,5,5,0
n640_90,640,36,4,6,6,0
n640_91,640,2,1,1,1,0
n640_92,640,4,2,1,1,0
n640_93,640,12,3,4,4,0
n640_94,640,240,7,20,20,0
n640_95,640,47,5,9,9,0
n640_96,640,4,2,2,2,0
n640_97,640,3,1,2,2,0
n640_98,640,2,1,1,1,0
n640_99,640,1,0,1,1,0
n80_0,80,2,1,1,1,0
n80_1,80,2,1,1,1,0
n80_10,80,4,2,2,2,0
n80_11,80,2,1,1,1,0
n80_12,80,1,0,1,1,0
n80_13,80,1,0,1,1,0
n80_14,80,3,1,2,2,0
n80_15,80,3,2,1,1,0
n80_16,80,4,2,1,1,0
n80_17,80,1,0,1,1,0
n80_18,80,81,4,16,16,0
n80_19,80,1,0,1,1,0
n80_2,80,3,2,1,1,0
n80_20,80,3,1,2,2,0
n80_21,80,1,0,1,1,0
n80_22,80,6,2,2,2,0
n80_23,80,5,2,3,3,0
n80_24,80,1,0,1,1,0
n80_25,80,3,2,1,1,0
n80_26,80,1,0,1,1,0
n80_27,80,6,2,2,2,0
n80_28,80,26,4,6,6,0
n80_29,80,11,3,6,6,0
n80_3,80,9,3,4,4,0
n80_30,80,20,4,2,2,0
n80_31,80,1,0,1,1,0
n80_32,80,1,0,1,1,0
n80_33,80,18,4,2,2,0
n80_34,80,7,2,3,3,0
n80_35,80,6,3,3,3,0
n80_36,80,3,2,1,1,0
n80_37,80,3,1,2,2,0
n80_38,80,8,3,1,1,0
n80_39,80,2,1,1,1,0
n80_4,80,5,2,3,3,0
n80_40,80,1,0,1,1,0
n80_41,80,1,0,1,1,0
n80_42,80,13,3,4,4,0
n80_43,80,8,3,2,2,0
n80_44,80,1,0,1,1,0
n80_45,80,2,1,1,1,0
n80_46,80,9,2,4,4,0
n80_47,80,3,1,2,2,0
n80_48,80,3,1,2,2,0
n80_49,80,10,3,4,4,0
n80_5,80,4,2,1,1,0
n80_50,80,1,0,1,1,0
n80_51,80,3,1,2,2,0
n80_52,80,4,2,1,1,0
n80_53,80,9,3,4,4,0
n80_54,80,91,6,16,16,0
n80_55,80,5,2,2,2,0
n80_56,80,9,3,2,2,0
n80_57,80,8,3,1,1,0
n80_58,80,3,1,2,2,0
n80_59,80,5,2,3,3,0
n80_6,80,3,1,2,2,0
n80_60,80,3,2,1,1,0
n80_61,80,1,0,1,1,0
n80_62,80,5,2,2,2,0
n80_63,80,6,2,2,2,0
n80_64,80,11,3,4,4,0
n80_65,80,3,1,2,2,0
n80_66,80,7,2,3,3,0
n80_67,80,3,1,2,2,0
n80_68,80,4,2,2,2,0
n80_69,80,6,2,3,3,0
n80_7,80,3,1,2,2,0
n80_70,80,1,0,1,1,0
n80_71,80,1,0,1,1,0
n80_72,80,28,5,7,7,0
n80_73,80,2,1,1,1,0
n80_74,80,9,3,2,2,0
n80_75,80,2,1,1,1,0
n80_76,80,1,0,1,1,0
n80_77,80,5,3,1,1,0
n80_78,80,3,1,2,2,0
n80_79,80,5,2,2,2,0
n80_8,80,5,2,3,3,0
n80_80,80,3,1,2,2,0
n80_81,80,2,1,1,1,0
n80_82,80,1,0,1,1,0
n80_83,80,6,2,2,2,0
n80_84,80,13,4,3,3,0
n80_85,80,6,2,2,2,0
n80_86,80,13,4,4,4,0
n80_87,80,1,0,1,1,0
n80_88,80,8,2,4,4,0
n80_89,80,1,0,1,1,0
n80_9,80,2,1,1,1,0
n80_90,80,12,3,2,2,0
n80_91,80,2,1,1,1,0
n80_92,80,2,1,1,1,0
n80_93,80,3,2,1,1,0
n80_94,80,3,1,2,2,0
n80_95,80,3,1,2,2,0
n80_96,80,2,1,1,1,0
n80_97,80,2,1,1,1,0
n80_98,80,2,1,1,1,0
n80_99,80,3,1,2,2,0
